units_sold,record_ID
20.184566580849406,212645
20.373206609553876,212646
23.162413386083898,212647
32.73711915223717,212648
23.24238264182988,212649
26.492639985244,212653
41.587316934705534,212654
17.419544570767787,212657
12.981466399819288,212658
170.6393755015653,212661
101.12355464111141,212662
52.47444425891171,212663
58.76527033844694,212666
88.59997822610671,212667
116.2436281753426,212668
47.109649675936076,212671
121.63800126764204,212672
64.09152890702063,212673
377.5994556291993,212674
21.835153010453997,212675
9.999235693632821,212676
82.13686231992102,212677
54.858052324394755,212678
36.823131725898435,212679
41.18510392637282,212681
86.97704085407874,212682
19.880819728518905,212683
89.87735853780998,212686
86.43916871074214,212687
23.478839682859043,212688
6.350351915609416,212689
20.869847272997564,212691
51.83410162875425,212692
39.86544182893449,212693
43.12099641982213,212694
41.2639421457558,212695
39.147249594955305,212696
91.16543358854493,212697
34.17462542227551,212698
171.97787386964114,212699
22.32567350721741,212700
12.001801612553574,212701
43.54547051815393,212702
41.76806289064092,212703
31.81691812616063,212704
30.32425119253486,212705
35.719957212278,212706
46.56881293152095,212707
6.570396482581285,212709
8.1870368124988,212710
25.682428890542703,212711
37.35814858792691,212712
29.22359556571371,212713
15.030915039610957,212716
33.080637161619805,212717
18.529817799805812,212718
22.156606287162287,212719
83.17020652807828,212721
28.310005058106082,212722
116.1487322134049,212723
12.916803685744604,212724
9.397578053593328,212725
37.03672880471056,212727
53.179173823759506,212728
36.099263652027645,212729
29.864336493798604,212731
43.13844798284523,212732
5.337219678689644,212734
5.539460198448694,212735
10.49097197732395,212736
243.3394796908342,212737
205.14861221719042,212738
73.01607449654247,212739
21.038216993927847,212740
61.798564665027364,212742
99.22319349526008,212743
188.60443475549826,212744
206.63163536406037,212748
101.17097236821174,212749
440.25879823329257,212750
41.128372572223945,212751
22.344544703159862,212752
131.03186962166174,212754
91.88822630047325,212755
116.51630952963373,212756
48.17966956327094,212757
59.99571976332884,212758
128.48681519477958,212759
7.656184227956849,212760
67.0060156156473,212761
11.995229245697491,212763
96.7177442226257,212764
85.58560976794413,212765
36.932141989473024,212767
51.78596512882559,212768
65.00475430411743,212769
39.17331931240315,212772
61.69994043454567,212773
35.55892151171649,212774
186.1357511793088,212775
11.677880677017324,212776
6.922974408512189,212777
53.589132424678624,212778
31.13891377302218,212779
48.34588589498113,212782
66.67821872131324,212783
